country,year,iso_code,co2_per_capita,consumption_co2_per_capita,co2_per_gdp,consumption_co2_per_gdp,energy_per_capita,primary_energy_consumption,energy_per_gdp,gdp,population
Lebanon,2019,LBN,4.3387064933776855,,0.3668866455554962,,18132.5625,105.07096862792967,1.5333130359649658,68525451094.0,5794601.0
Lesotho,2019,LSO,0.990039885044098,,0.4378130733966827,,1821.102783203125,4.0235700607299805,0.8053237795829773,4996214053.0,2209414.0
Liberia,2019,LBR,0.1847172677516937,,0.2353082448244094,,718.2987670898438,3.622897148132324,0.915028750896454,3959325948.0,5043719.0
Libya,2019,LBY,10.613996505737305,,0.6368368268013,,32330.232421875,224.72874450683597,1.9398049116134644,115851209708.0,6951040.0
Lithuania,2019,LTU,4.882669448852539,8.022611618041992,0.1737128347158432,0.2854239344596863,25257.84765625,70.59712219238281,0.8986093401908875,78562641002.0,2795057.0
Luxembourg,2019,LUX,15.721521377563477,13.64763355255127,0.2857360541820526,0.2480434775352478,76250.828125,47.28824615478516,1.3858461380004885,34122291521.0,620167.0
Madagascar,2019,MDG,0.1469376236200332,0.2040978372097015,0.1099152639508247,0.1526734083890915,551.2008666992188,15.554645538330078,0.412320464849472,37724649896.0,28219559.0
Malawi,2019,MWI,0.0891084000468254,0.1424856781959533,0.0681373178958892,0.1089525818824768,419.8639221191406,7.98822546005249,0.3210516571998596,24881432457.0,19025748.0
Malaysia,2019,MYS,8.303468704223633,8.230469703674316,0.3349274396896362,0.3319829702377319,37119.49609375,1241.2978515625,1.4972463846206665,829053844392.0,33440590.0
Mali,2019,MLI,0.2655178308486938,,0.1932532489299774,,1150.7503662109375,24.244474411010746,0.8375567197799683,28946666484.0,21068405.0
Malta,2019,MLT,3.272104024887085,31.482074737548828,0.0984165221452713,0.9469003081321716,79262.109375,39.9494514465332,2.3840017318725586,16757308198.0,504017.0
Mauritania,2019,MRT,1.032581806182861,,0.3198159337043762,,4034.870849609375,18.026649475097656,1.2496987581253052,14424796068.0,4467714.0
Mauritius,2019,MUS,3.5179576873779297,5.696712017059326,0.1605000495910644,0.2599014937877655,20152.34375,25.921335220336918,0.9194118976593018,28193387492.0,1286269.0
Mexico,2019,MEX,3.723161220550537,4.47601318359375,0.228664144873619,0.274901807308197,17971.640625,2260.1669921875,1.1037582159042358,2047701179708.0,125762978.0
Moldova,2019,MDA,1.7279510498046875,,0.222698301076889,,13243.2861328125,41.22053527832031,1.7067943811416626,24150849841.0,3112561.0
Mongolia,2019,MNG,14.578362464904783,12.863757133483888,1.071376919746399,0.9453690648078918,19338.5859375,62.50458908081055,1.4212099313735962,43979841080.0,3232118.0
Montenegro,2019,MNE,4.04934024810791,,0.1975259482860565,,18504.978515625,11.31895923614502,0.9026689529418944,12539436047.0,611671.0
Morocco,2019,MAR,1.8984193801879885,2.007066249847412,0.223465234041214,0.2362541854381561,7286.2294921875,263.8409729003906,0.8576708436012268,307624970074.0,36210907.0
Mozambique,2019,MOZ,0.2374964952468872,0.43336021900177,0.2376850098371505,0.4337042272090912,1650.031982421875,49.3101806640625,1.6513417959213257,29860675429.0,29884378.0
Myanmar,2019,MMR,0.6386106610298157,,0.0997423753142356,,2882.8349609375,151.75450134277344,0.4502599239349365,337037542855.0,52640718.0
